RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31,2023-02-28,2023-03-31,2023-04-30,2023-05-31,2023-06-30,2023-07-31,2023-08-31,2023-09-30,2023-10-31,2023-11-30,2023-12-31,2024-01-31,2024-02-29,2024-03-31,2024-04-30,2024-05-31,2024-06-30,2024-07-31,2024-08-31,2024-09-30,2024-10-31,2024-11-30,2024-12-31,2025-01-31,2025-02-28,2025-03-31,2025-04-30,2025-05-31
102001,0,United States,country,,1286.046929401739,1292.6384880740702,1301.4028163872035,1311.8315395472484,1321.4543449807395,1330.313336976773,1336.370732434719,1339.864513302984,1341.1010606346142,1340.9713716224796,1341.4579324063889,1342.7777606210582,1346.9970498196171,1352.48412928137,1359.3843880521977,1368.0755014371687,1377.206944952432,1385.549850473234,1390.220366851364,1391.8706405269336,1390.9114600759174,1389.085571982623,1387.903074784015,1388.0139650954468,1393.7010074875332,1403.7168131019678,1417.3001267724508,1429.397766265239,1439.8418109687557,1447.7894970416041,1452.7073661765069,1454.2160500141506,1455.3345631906952,1454.9604631381908,1455.9796118661368,1457.3757846981089,1462.5351601084362,1470.407349079174,1481.6119919483788,1492.817630256351,1502.4857050173055,1509.9616548789807,1514.4465027500028,1517.0233369350344,1517.1832502470545,1517.5736235759018,1519.5015853766695,1522.4432734551958,1527.5455133990017,1535.146905537384,1547.0452965628222,1559.0407403949764,1569.7509009385087,1577.397862946676,1581.998721461876,1584.0653568973514,1584.3665895117188,1584.8611152936567,1585.9654205743848,1587.633389906464,1593.4485853071444,1602.6741562753557,1613.2035973016202,1619.0411358637475,1625.4873595150746,1634.2291372493391,1647.9978041389513,1660.1765261550966,1671.156783559738,1679.787105005694,1687.0063132905952,1694.5761365551011,1705.9087232788527,1720.9023460432516,1738.466393066212,1758.4677087223429,1782.4129375712598,1807.5805602303294,1831.5698363780828,1853.8418717954771,1872.5841349712023,1887.4481522561298,1898.8528836312528,1910.4008780686518,1924.6538656042965,1943.1288818793187,1963.6834011652145,1985.3882384605156,2004.3339950469633,2023.3202414264194,2038.614079278689,2050.849690737346,2055.925589415277,2058.7372360522872,2057.887267728067,2061.2590663175642,2066.2424421218575,2076.16687059768,2089.2883858437413,2104.004467671235,2117.488890447012,2128.195618025908,2138.1785694912014,2146.862690376991,2151.9250328169655,2152.304427067619,2151.0979550820452,2151.932987606774,2159.7937424106017,2171.1363411076427,2186.5762807985448,2199.3713021445574,2211.8903440111467,2222.034135990057,2232.2832980157314,2240.229966189209,2244.546460090744,2245.3852708415584,2246.6010113670563,2248.4075186393193,2255.280280250069,2264.7373335332295,2277.147577757431,2287.75292766157,2295.6772466165344
394913,1,"New York, NY",msa,NY,2289.6495984612225,2316.0911597539875,2334.601037881361,2347.4548411567143,2347.8304905010355,2363.2113059452618,2368.799164741374,2369.4276272443008,2368.513148271736,2369.5601306138883,2373.0055283445354,2378.4485555334177,2387.70776396669,2400.1766495538527,2411.501468670672,2425.6898372885294,2436.132956222817,2437.614076776348,2441.286384849893,2433.7184074096353,2433.873661225041,2428.6220827092225,2447.1998309846617,2453.937076457697,2471.475450339268,2482.314778286952,2501.601427939181,2514.5799115457485,2527.7175008349777,2532.2026517996865,2539.335100938157,2531.2369797365204,2559.0127764263634,2566.7843554619167,2565.0334984722763,2540.028961009333,2542.333324209092,2556.3688874167287,2569.5679356258174,2582.9309910396123,2599.8526694971274,2609.6343806691893,2613.5826104879543,2620.948262434526,2622.589728250678,2616.940307400009,2615.577530076397,2616.2382486035035,2623.403344482981,2640.5461945293423,2669.6918934080427,2690.9403741171677,2704.048933123547,2709.7171483648385,2709.6053798412067,2698.0310297716865,2678.405091601203,2689.3398191334986,2693.7041876362196,2720.0187110951947,2720.076147045884,2736.2123721171056,2750.4459362950797,2774.2684340195287,2793.480467594718,2805.1611635559525,2815.7044557031463,2821.7617842949207,2829.572413950344,2815.1916263506687,2840.981405951805,2841.3367615945263,2880.231621635069,2900.831373764198,2954.134913949309,2991.8356170016104,3009.843376754954,3028.10527399546,3044.772071745631,3067.866361898193,3064.5725775602955,3079.7535712856748,3071.820763691931,3106.3005394757715,3137.6725306424473,3203.128396560372,3239.907250287452,3272.6397645804286,3291.87860292713,3315.6880958925694,3345.4865794759467,3366.3816539144213,3373.556778867647,3365.483196376306,3357.7897154530983,3363.1414770576503,3369.5667796363705,3406.663693634305,3456.7051178348493,3510.1506396768623,3533.2971825359396,3535.5659138360083,3539.3139695759514,3547.903988784794,3545.652751712607,3523.8718217676387,3507.9847587694408,3529.812354921479,3574.846098596687,3610.8434229352074,3646.360630445179,3655.10298726317,3674.11345280616,3684.242326248534,3705.7951467951875,3719.9950660020977,3698.603013050729,3689.077876467525,3696.521016761399,3740.436620252174,3759.9859535907012,3750.865940610921,3753.6188118521404,3781.1333938273624,3823.6345385615678
753899,2,"Los Angeles, CA",msa,CA,2531.1966834702116,2543.0537553553327,2562.3738270035833,2573.1554524490525,2598.993078638742,2617.256147782803,2638.9330226300235,2649.010405823533,2657.6809345308475,2658.6440906656903,2654.7934250789913,2660.7126403914203,2675.1761436831034,2696.115048323308,2716.821039816774,2730.8386330678836,2759.123600139981,2774.625006536968,2790.945702626954,2790.1808374206976,2790.425718392795,2785.24911410419,2779.2113630091094,2778.4931358373833,2797.605338017424,2824.2999752689093,2856.768849272503,2882.572453879697,2905.581817302624,2917.6694381825073,2927.167648379235,2926.3603575942852,2932.954906142679,2929.0293477388173,2941.8206865243146,2944.388201518287,2960.06129615694,2970.9307687250403,2992.5449333983897,3013.1355044470693,3029.024841324482,3043.118050515819,3051.930068234579,3055.904063137156,3059.88699137867,3063.8773877154163,3081.2572660573774,3085.8621220449086,3098.0629803618367,3097.396930593088,3124.1537909504927,3137.3673758257187,3165.8197667309164,3173.8100629305286,3183.325180419127,3179.8660081339367,3178.7434503435215,3181.945176708707,3186.7146954816844,3194.805392004675,3209.895266418321,3225.5733217454203,3230.2370571718466,3214.1198812352227,3215.0786146614364,3229.5718015802386,3265.8667002718944,3276.6267163795833,3290.473981504962,3297.1081318980005,3319.186340452082,3330.261732167924,3356.8742628043383,3380.416928815505,3420.729310834094,3441.078407467462,3470.3429870499513,3495.662663469494,3529.6519791157543,3573.3296461584314,3611.4187684966028,3641.9354312072833,3661.642286340569,3687.672006294077,3720.1793699634172,3764.5523772272736,3811.588745944361,3854.4883166176746,3889.4965340381323,3915.808720695425,3942.9294441634343,3951.8666977469143,3955.358073181468,3962.992947589715,3969.7073472493475,3974.7253499323638,3978.770388723722,3988.2475979902633,4011.38380398353,4039.8470464749366,4062.7162757680117,4091.993354254446,4111.823566538707,4137.260846258126,4132.190055272978,4126.537248181121,4124.399814696611,4134.580328476488,4159.767794737433,4175.773109728079,4198.429114709994,4212.263060118773,4230.843462032434,4247.7179903081815,4268.938750165513,4276.1590252839615,4280.841412705632,4274.5460793802085,4278.468498558955,4284.130032848394,4365.461849240952,4432.975401231336,4492.56288373644,4474.7194447425845,4462.167821924884
394463,3,"Chicago, IL",msa,IL,1557.935338429762,1565.1584975937062,1575.929438119197,1589.8537264344902,1602.453909702421,1612.080601004255,1613.6388566874866,1613.635217067414,1608.485970238906,1599.201946967285,1595.3867330964447,1598.9529794494451,1606.8132423326656,1614.275188735358,1625.1812255005752,1635.5961020602967,1643.988801336971,1648.5164373947632,1655.1208391498365,1660.4600753449351,1655.529957051314,1646.8340247390972,1637.1099374614346,1631.2619875631494,1638.4884854137622,1647.345762918582,1665.1268005878644,1679.3636184425136,1694.6612979824833,1700.3587380558406,1701.7054564454663,1698.5869476211167,1694.8310650808369,1684.549266631165,1680.9018176213985,1677.787581654049,1684.859221243095,1693.5586319377821,1707.7835911872767,1723.3733090683284,1731.7496097071485,1739.0365433430736,1739.3274305734828,1739.5532966738006,1737.6907058606005,1732.7593702810354,1728.3590854349402,1723.6321994471464,1732.2875598681271,1738.1349295948016,1753.622735431315,1764.4435901342683,1778.438650108502,1786.7661058319734,1790.492375051887,1789.072729177843,1785.5074723279436,1781.3799475239816,1777.660604138419,1774.95551688426,1778.984576448249,1791.427016928203,1806.2492341834968,1813.6582316519823,1818.2469801965983,1824.5320198574266,1833.2263211937077,1841.9506327854003,1839.1600051298665,1834.8691385184813,1830.397052272248,1836.7732594465815,1851.0665993907626,1869.0684199350271,1885.4417350978267,1902.0580342269477,1920.0178037797473,1942.485205921868,1960.5650296739188,1978.0260417982297,1994.5411590969054,2003.8172272606735,2011.0289207289177,2016.1923887481196,2026.1038391637505,2034.9090668201484,2056.4207112418644,2080.1147775146455,2110.1434605526065,2128.6308812814236,2146.83933513287,2158.110476653951,2162.8478238024827,2164.720280881097,2159.0995942756526,2167.875691895152,2177.8161269247416,2196.1370563254636,2208.3534133344333,2230.973563293212,2251.7699593790344,2273.492853523326,2284.678181182911,2296.8927395459814,2305.1441536726948,2309.876000760697,2313.588707396143,2323.463246171029,2331.8836558417615,2346.0929359095226,2360.3907512626092,2390.3871259476446,2411.5591444445213,2425.0608038422215,2434.5376885304026,2447.3328137147505,2456.098549985524,2462.2952160356053,2466.2530320115384,2478.4445479754254,2487.411518364946,2512.366638815773,2525.7078737133847,2543.9153147573757,2553.3132295262926
394514,4,"Dallas, TX",msa,TX,1391.2989598601089,1399.584919349245,1410.1487578915296,1423.9705026220067,1436.9538427635123,1448.3505866456264,1456.7671582134112,1460.1446426291338,1460.63061765869,1460.937736257477,1460.918513914739,1463.0863023744162,1465.3941170954463,1474.6078571319715,1485.4266672417473,1497.627770523476,1508.7256152353498,1517.9913474604718,1525.6470827657001,1528.2855080360187,1527.7829321879096,1524.5502957534031,1521.347343869737,1520.585848194201,1528.0736603720247,1538.610837411724,1554.2037985839863,1567.4802064498517,1581.0869825393706,1588.4877949596396,1593.5523817925516,1595.7672139015278,1595.5674294666871,1595.0188019093998,1594.503155106688,1598.5614274575473,1604.0846467000074,1611.9162656370286,1618.7152787628102,1630.0586776878333,1638.3331399558438,1648.789207581106,1649.6567012946846,1653.0722368673898,1653.1643765568238,1653.9491783143783,1651.4732862822605,1652.4163764122409,1658.2307012036872,1665.4997573268035,1675.7652632638774,1686.9149806202008,1700.4329287876772,1707.1859070584308,1709.2342302283241,1709.4978496528456,1709.1479143937215,1711.2349695954908,1713.0414157203443,1711.1802248547076,1714.0647412617157,1719.0548053134398,1730.7429795013572,1735.4370281754764,1741.806127096894,1751.036747849065,1763.1031960777193,1773.7708476485893,1782.3469329326103,1792.6728854896126,1803.1966976595513,1813.2711495418305,1826.7128925454542,1840.8489762200231,1858.537026656029,1879.6845184464116,1908.6422488024748,1939.1023881728402,1967.7127325714482,1992.4168696543152,2015.4076000438167,2036.4142178302232,2049.696238306713,2057.653929521679,2067.5489660547714,2084.937090746141,2107.4431929943376,2131.084074788208,2154.5282008126865,2181.519219795847,2200.048296490171,2210.599332608052,2213.300187047372,2217.763696482567,2221.6925951979333,2224.0891013319006,2226.042458387908,2231.012827674792,2242.2308753794728,2252.441188079582,2266.6875080717273,2280.448729428967,2293.7610013851777,2299.9600233355172,2298.2504362770396,2290.314685541494,2289.659419638819,2288.0897638048086,2295.918239883929,2302.2971166604684,2319.803165078395,2331.870771020629,2339.6809641960963,2347.074415675205,2353.5786371310714,2358.318342300689,2357.0215422361475,2352.0405689922773,2345.46418185317,2338.4379214048568,2341.9427191731593,2354.632458239432,2368.795565439287,2378.0466503878824,2381.7131965973235
394692,5,"Houston, TX",msa,TX,1532.2477784994444,1538.1525078782015,1546.3970342178973,1557.054500855701,1568.7295362513303,1579.133301296783,1581.5659437654865,1581.4012172747634,1576.7871006272355,1572.6554784737682,1568.8821739158852,1563.846013775347,1565.2522491596976,1565.702183906409,1571.8117457171813,1574.2449114994056,1578.6469050672247,1582.8247123017545,1582.8707025385042,1580.2381545990538,1572.332175515534,1564.95655472437,1555.9444251944406,1550.6796555078383,1553.8028480015837,1564.6584406900915,1577.2928601849533,1585.987635686031,1592.9730081519037,1597.7877906648175,1599.5788343507918,1598.6750032428658,1605.269516639214,1612.2483240496285,1617.8111125395674,1616.5163240985792,1620.49911999133,1626.4356999631996,1633.6570509041624,1638.1565715197041,1644.259281884723,1650.9517920858257,1650.5447311174837,1650.3591473650756,1646.5383048657218,1645.3260706516294,1640.618551422716,1639.209993107417,1641.527151045162,1648.728131069332,1658.7719230131001,1670.5878338987507,1680.8796091588385,1686.7752229617968,1687.8829312869395,1685.3625225780445,1684.3039469664639,1683.570468012922,1683.4450854262377,1683.021859702857,1686.757537170484,1692.5311973232656,1700.8448451469249,1701.5245829252128,1705.907450893557,1708.6916197182982,1720.7146157045704,1731.2651321589426,1741.000774042909,1747.825338706848,1751.6670156063924,1758.6184898617923,1772.1514628387918,1786.5135485416129,1800.0311752797727,1813.1033170683836,1833.6474609107934,1855.5116906615253,1868.021493669652,1881.203521568985,1890.709305948878,1909.357022703439,1916.61226759049,1926.6409788584601,1934.2945375093136,1949.2118458529294,1959.5121792783366,1971.5979222453088,1983.5874253031855,2005.231438452793,2019.7656045253736,2032.021732000247,2033.5509850859607,2038.8720872960077,2034.3130427802678,2036.1162704715318,2037.0657538390253,2048.7477957472006,2060.38429416406,2070.996452553229,2082.9085946890614,2095.746056910376,2109.796364437784,2116.8866222734564,2117.3542935961964,2113.690601626398,2111.362973844649,2112.0805624072955,2116.5368642753083,2126.241580746705,2135.118011310036,2146.5500706354437,2155.521490322063,2166.3380137836434,2173.3081439015023,2180.081533086768,2182.3724145562164,2181.131101549056,2180.736386073736,2182.7446401410007,2185.6400219021007,2190.1470198956376,2199.203666734951,2209.215958856908,2214.700501636166
395209,6,"Washington, DC",msa,VA,2132.9371536279236,2150.259432815436,2166.9325368710192,2178.8326346453955,2186.26548529433,2196.1482705897693,2201.063521447424,2197.9617898070373,2196.513655879584,2187.855160363225,2187.5839131021785,2181.34589813207,2188.930991668266,2196.5923353881963,2209.451323665194,2216.786380288849,2228.654315637653,2235.966031193396,2244.97032784884,2246.9880802589814,2238.9922865163053,2232.0573142085277,2222.879465760573,2221.520193460788,2227.2752110379306,2241.0885873888624,2261.7986457945976,2277.3698024485925,2288.325316631925,2296.1604860280368,2299.7225028146736,2297.7280187717342,2294.921471585992,2286.826551345133,2283.525617314423,2284.3520814726735,2290.172139693209,2300.133569483182,2312.968881805341,2329.648747632373,2342.4304378462753,2350.4755507896903,2354.221150496823,2356.436875921692,2351.4402361631396,2344.997789690115,2345.6170319405173,2346.5680669784433,2350.2273921027127,2358.739887115355,2377.86967131628,2398.4564322865763,2411.050811521403,2418.7805468326715,2420.822637746553,2423.440532246526,2424.759381971329,2421.1891760831786,2414.94903485801,2405.1019285341536,2413.557837694118,2423.8741534658225,2448.1763000240267,2459.9541146026586,2472.5228231433234,2476.972552634322,2485.514613388868,2495.3075525714685,2502.7728010397186,2500.6053103540394,2498.194092767581,2496.732329911402,2510.2096718209145,2519.472646699951,2540.6863953031107,2562.9653873681896,2595.397724146472,2618.9803513941756,2639.027476499026,2654.2790656043985,2667.2770874018906,2680.8739307176393,2687.043698847075,2689.8820774783903,2696.319255634612,2716.1787157941976,2743.3583417536256,2778.400270166976,2803.3696408146616,2828.9274238115854,2842.5422106776696,2853.206523362212,2860.2168263629587,2861.7269164616378,2865.19272377747,2872.230960543952,2879.8334021454975,2893.2679429707355,2905.7921417648663,2924.9623598688213,2948.0105868286732,2972.632651413455,2995.5796279565284,3010.8623851643447,3017.303287884817,3020.150818577178,3024.78132643917,3023.5403340284006,3028.528213469335,3038.038479743124,3065.779859300375,3094.3382819575913,3115.874560262811,3142.139963386245,3158.8776061149833,3173.9886911462254,3167.79541330774,3159.806935390952,3165.7730554826467,3160.2687436942915,3178.872553185056,3196.2497676666885,3236.0577138237486,3249.4737753078107,3252.6126718524724
394974,7,"Philadelphia, PA",msa,PA,1366.9953034025948,1376.077116661763,1388.3330128319096,1396.380365940523,1401.0428625225738,1404.2622033206621,1408.1656254861289,1409.4305160837248,1410.4846550048148,1410.3845664731448,1404.7150046645831,1403.750870333559,1404.8810858344493,1414.0958079501906,1423.3242787845068,1432.8734217279953,1440.4376800475807,1447.6184115287376,1449.6786691914742,1450.0910702241665,1445.9604643183297,1443.6862153789475,1446.7133841955374,1450.1403441003629,1456.5697378255968,1463.3289970972687,1475.41181312328,1484.4682108476552,1490.5619545040356,1490.079358289571,1491.660636050838,1494.0933310356559,1497.701450338377,1500.3265858906543,1501.0112823411296,1502.9977068696844,1503.0761848913305,1509.5164591769992,1522.0957227777847,1535.6008740757175,1546.6165856835487,1550.109735290841,1549.5656487406254,1547.05840872058,1548.8759110391122,1553.6878663852972,1558.5274438132244,1558.1700115454892,1561.6300251199157,1569.021720376125,1580.6108515879064,1592.2513117429671,1600.8527017623926,1608.4154524709677,1610.7328770281606,1610.4455105260693,1610.7021130530507,1614.8421698768548,1617.1773298456308,1621.2041782880794,1624.3149229140831,1633.6869846709296,1643.8614391887309,1649.0134948372706,1654.9735317777083,1660.3166060791502,1674.0596147890856,1682.974394918625,1693.6075704988223,1697.9334645660856,1705.127004238274,1711.1028494500924,1723.4803505638445,1738.9546509905636,1748.7144574894924,1765.0864314951964,1780.0834411126468,1797.5368931726216,1810.7575457127814,1825.4978067108443,1828.4740283516073,1841.8633368590722,1854.930262303546,1880.3963772006953,1894.4835268848053,1904.8754179426307,1918.6330003996518,1931.4964817038028,1945.5940744130487,1962.7832544172195,1977.022825429114,1990.3623792856204,1996.137749273771,1999.7290818858353,2005.3867740824223,2005.2891951845186,2012.051486949351,2021.379073151881,2036.6193813825587,2049.5371667568065,2057.7408343724774,2067.1177725440853,2074.4324259916684,2082.093025001384,2096.156960207025,2114.368480024416,2128.1567673958048,2126.3344539090285,2129.6863431609618,2135.939760886816,2152.481856401613,2160.1456789801,2171.4416979939015,2175.374668914522,2182.7403319166024,2190.4311214390946,2206.0945102134942,2222.3943610865385,2239.5067476642676,2252.6207265170938,2254.19003697048,2258.769961069449,2253.4682264582716,2259.4910387797368,2263.997638383573
394856,8,"Miami, FL",msa,FL,1780.9275219765843,1785.4714985886246,1796.8417322877976,1807.455994961213,1816.4688539712602,1823.2543717449537,1835.4597456343856,1845.170507940684,1858.857965519169,1865.6199822148242,1879.3359806425428,1884.1216905429826,1893.3359310128571,1889.362679935887,1893.9528080387129,1893.5521216264544,1903.2650944871107,1903.736058385362,1910.4683689696137,1913.3135986481757,1922.977471730053,1927.1453795257214,1935.1296279879145,1932.9049101773194,1937.3051010045458,1944.6041067369106,1958.5807190336543,1966.1955114022487,1968.420302371522,1974.9231367225846,1984.41367967159,1995.7460283837668,2002.1151465919224,2009.488077522734,2011.4401286127575,2015.9731377701148,2017.953962852406,2025.3854379059405,2032.29035844381,2041.863991169873,2048.3050684241853,2052.074215311402,2058.331213123647,2066.394087298454,2075.9234524786348,2083.1627716098624,2089.5185352142985,2090.4401336070005,2090.5311803699606,2092.9496682666495,2105.6637173124204,2113.862769700198,2120.224369808338,2126.2677367667716,2131.248984405307,2137.157664394637,2145.0727097183976,2159.6560461080876,2174.1513695785925,2178.9237780275416,2177.4441869585576,2183.223495274066,2184.0561187416192,2187.3763436774716,2185.404338947006,2200.403840946557,2220.078302534716,2237.6945923938943,2260.932484131274,2298.7727152896373,2335.696749272264,2361.156896225262,2366.874786414498,2382.8853632000023,2393.4440539940597,2421.8189852155133,2459.5423354911914,2520.5486963864278,2588.9338319997364,2649.7535536273867,2722.4783794120585,2772.0718760185214,2841.4457616874397,2887.4086471950877,2948.1305696997447,2987.480904747532,3035.13033358887,3088.731146961608,3150.7634099881043,3207.2873524179668,3244.903963691139,3271.30574295006,3275.554465051159,3287.5033512806494,3293.801110970964,3298.9608592361915,3289.6706296913726,3280.543141592586,3286.791048451044,3306.01036476171,3328.6529273501046,3357.3114833780246,3369.452854468442,3384.840790642629,3396.969535807965,3415.8197872607375,3422.1467894780976,3406.9415059872963,3400.3157188995588,3404.098100451089,3427.352252766009,3442.410816436307,3454.4625052085166,3459.5082752019434,3476.990687652862,3492.5173390094747,3506.1830300098422,3500.031378453783,3506.8620470531387,3508.0376384512397,3511.6583153737456,3511.6436107152867,3525.4972967540507,3540.4239813514846,3541.6503704140036
394347,9,"Atlanta, GA",msa,GA,1129.8400857264455,1136.2550616371104,1138.8006455235497,1148.6527325780467,1157.126146659482,1170.0814949641288,1176.6619559931273,1179.534431633192,1179.2102060415118,1179.2803386582414,1178.6047247800643,1182.260702595172,1188.1643909344195,1197.8704670145116,1204.9548227749897,1212.7541027721293,1221.1901688462049,1231.3010248345565,1239.5853795430342,1243.8093101409647,1243.0118230774533,1242.6139283968296,1241.956067368124,1244.5886268842717,1249.482437353724,1259.1948517910846,1272.2920902650335,1285.0988832681212,1297.340571779517,1307.6404387283922,1317.3388113641531,1320.7424118090296,1323.2270474720485,1319.0487811228577,1323.6176253420724,1324.8112493064418,1333.5517624577958,1339.2912311655666,1353.6748683922967,1365.7555784038366,1378.9541064621553,1385.3747184115587,1390.232173866871,1391.2759679047413,1392.716235051724,1397.1434995177528,1402.0421305550867,1407.1662474010413,1412.4598280474268,1421.1225287161003,1433.7768970648806,1447.461734151095,1458.5884903127223,1468.7764388339945,1474.0850020713704,1477.5469333250974,1478.777759019113,1480.8162455851755,1483.605461119716,1485.8546457540062,1491.3900773532885,1500.7023286695612,1513.6780702240487,1524.1663669866393,1535.4402059291526,1548.4983868028237,1564.6466986777339,1581.47941036224,1596.8450127124854,1610.5511321340339,1622.1485610465081,1633.4347947243455,1649.0459938916226,1670.6126115807745,1694.2471144328263,1722.1201681672883,1748.397210461854,1778.4474962235677,1805.3412057812857,1837.5727124319696,1863.0065037039558,1887.276007284489,1899.24839854773,1906.663930290602,1913.8949616414773,1925.099475958927,1942.0725102544784,1955.868666720975,1974.6759997622933,1997.993437006459,2025.805421619317,2045.5048413379511,2055.6055772813397,2058.601000900968,2058.0973934554786,2066.63352018101,2067.2584164635664,2074.3206436917953,2079.1459124249172,2088.870155589204,2096.3325499433668,2101.204924010576,2110.213082241549,2118.079937576305,2121.3225473620523,2113.6737024088925,2103.761823007049,2102.6749853285933,2120.000207312065,2142.28079362714,2158.221090809045,2163.9344799270816,2167.037171655067,2180.0881157482854,2192.532538958571,2206.4404161482635,2208.1925246152123,2209.131312381978,2204.989944733691,2208.8473075159473,2215.380054485051,2231.883418564937,2240.351426701327,2251.084356847453,2252.9952410704645
